product_line,subcategory,sub_category_1,sub_category_2,product,uin
Apparel & Clothing,Men's,Trousers,Slim Fit,Newline,B09KXVBD7Z
Apparel & Clothing,Women's,Dresses,Summer Wear,Floral Maxi Dress,B09K3WFS32
Apparel & Clothing,Kids',T-Shirts,Graphic Prints,Cartoon Character Tee,B07WV4JV4D
Apparel & Clothing,Activewear,Leggings,High-Waisted,Yoga Leggings,B099NRCT7B
Footwear,Casual,Sneakers,Low-Top,Canvas Sneakers,B098714BZP
Footwear,Formal,Loafers,Leather,Classic Loafers,B08YN7XDSG
Footwear,Boots,Ankle Boots,Waterproof,Winter Ankle Boots,B08CMHNWBN
Footwear,Sandals,Flip-Flops,Beach,Comfort Flip-Flops,B081WX4G4Q
Groceries & FMCG,Packaged Food,Pasta,Whole Wheat,Spaghetti,B08L91ZZXN
Groceries & FMCG,Beverages,Juice,Orange,Fresh Orange Juice,B08B3XF5MH
Groceries & FMCG,Snacks,Chips,BBQ Flavor,Potato Chips,B07K3YQLF1
Groceries & FMCG,Cleaning Supplies,Detergent,Liquid,Stain Remover,B098117DJ3
Electronics,Mobile Phones,Smartphones,5G,Flagship Phone,B081XCMYXJ
Electronics,Laptops,Ultrabooks,Thin & Light,Premium Ultrabook,B085HS947T
Electronics,TVs,LED,4K,Smart TV,B09CSSQY4F
Electronics,Smart Devices,Smartwatches,Fitness,Fitness Tracker,B09PY99SVJ
Home Appliances,Washing Machines,Front Load,Energy Star,Efficient Washer,B099FCT65D
Home Appliances,Refrigerators,French Door,Frost-Free,Large Fridge,B081WT6GG7
Home Appliances,Microwaves,Countertop,Compact,Quick Heat Microwave,B098133PV5
Home Appliances,Air Conditioners,Split,Inverter,Cooling AC,B0983DDPL6
Furniture & Home Décor,Sofas,Sectional,Fabric,Modular Sofa,B09HMXJVFS
Furniture & Home Décor,Beds,King Size,Wooden,Platform Bed,B09KXV4BN8
Furniture & Home Décor,Tables,Coffee Table,Glass Top,Modern Table,B082W7GVH7
Furniture & Home Décor,Wall Art,Canvas Print,Abstract,Abstract Painting,B099NK55YG
Personal Care & Beauty,Cosmetics,Lipstick,Matte,Long-Last Lipstick,B08YYYDN9R
Personal Care & Beauty,Skincare,Moisturizer,SPF,Daily Moisturizer,B09G2RQSRZ
Personal Care & Beauty,Haircare,Shampoo,Volumizing,Volumizing Shampoo,B082W8JXJ9
Personal Care & Beauty,Grooming,Razor,Electric,Electric Razor,B09LD2W9XL
Health & Wellness,Vitamins,Multivitamin,Gummy,Adult Gummy Vitamins,B08KRXV1QR
Health & Wellness,Supplements,Protein Powder,Whey,Chocolate Protein,B07JG3CND8
Health & Wellness,Fitness Gear,Dumbbells,Adjustable,Home Dumbbells,B099NR7612
Health & Wellness,Medical Devices,Thermometer,Digital,Fast-Read Thermometer,B08YYTCPYX
