products.id,products.title,products.description,products.category,products.price,products.discountPercentage,products.rating,products.stock,products.tags,products.brand,products.sku,products.weight,products.dimensions.width,products.dimensions.height,products.dimensions.depth,products.warrantyInformation,products.shippingInformation,products.availabilityStatus,products.reviews,products.returnPolicy,products.minimumOrderQuantity,products.meta.createdAt,products.meta.updatedAt,products.meta.barcode,products.meta.qrCode,products.images,products.thumbnail
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,9.99,10.48,2.56,99,[List],Essence,B09KXVBD7Z,4,15.14,13.08,22.99,1 week warranty,Ships in 3-5 business days,In Stock,[List],No return policy,48,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.78472E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,18.19,2.86,34,[List],Glamour Beauty,B09K3WFS32,9,9.26,22.47,27.67,1 year warranty,Ships in 2 weeks,In Stock,[List],7 days return policy,20,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.17028E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,9.84,4.64,89,[List],Velvet Touch,B07WV4JV4D,8,29.27,27.93,20.59,3 months warranty,Ships in 1-2 business days,In Stock,[List],No return policy,22,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.41888E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,12.16,4.36,91,[List],Chic Cosmetics,B099NRCT7B,1,18.11,28.38,22.17,3 year warranty,Ships in 1 week,In Stock,[List],7 days return policy,40,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.46775E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,11.44,4.32,79,[List],Nail Couture,B098714BZP,8,21.63,16.48,29.84,1 month warranty,Ships overnight,In Stock,[List],No return policy,22,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.06301E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,1.89,4.37,29,[List],Calvin Klein,B08YN7XDSG,7,29.36,27.76,20.72,1 week warranty,Ships overnight,In Stock,[List],90 days return policy,9,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.45153E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,16.51,4.26,58,[List],Chanel,B08CMHNWBN,7,24.5,25.7,25.98,3 year warranty,Ships overnight,In Stock,[List],No return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.09174E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,14.72,3.8,98,[List],Dior,B081WX4G4Q,4,27.67,28.28,11.83,1 week warranty,Ships in 2 weeks,In Stock,[List],7 days return policy,10,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.44509E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,0.62,3.96,4,[List],Dolce & Gabbana,B08L91ZZXN,6,27.28,29.88,18.3,3 year warranty,Ships in 1 month,Low Stock,[List],7 days return policy,2,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.02387E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,14.39,2.74,91,[List],Gucci,B08B3XF5MH,7,20.92,21.68,11.2,6 months warranty,Ships overnight,In Stock,[List],No return policy,2,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.17083E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",furniture,1899.99,8.57,4.77,88,[List],Annibale Colombo,B07K3YQLF1,10,28.16,25.36,17.28,1 year warranty,Ships in 1 month,In Stock,[List],No return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.61076E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",furniture,2499.99,14.4,3.92,60,[List],Annibale Colombo,B098117DJ3,6,12.75,20.55,19.06,Lifetime warranty,Ships in 1 week,In Stock,[List],7 days return policy,1,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.77766E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",furniture,299.99,19.09,2.87,64,[List],Furniture Co.,B081XCMYXJ,2,13.47,24.99,27.35,5 year warranty,Ships overnight,In Stock,[List],7 days return policy,3,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.44129E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",furniture,499.99,2.01,4.88,26,[List],Knoll,B085HS947T,10,13.81,7.5,5.62,2 year warranty,Ships overnight,In Stock,[List],60 days return policy,5,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.91939E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",furniture,799.99,8.8,3.59,7,[List],Bath Trends,B09CSSQY4F,10,7.98,8.88,28.46,3 year warranty,Ships in 3-5 business days,Low Stock,[List],60 days return policy,2,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.9581E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",groceries,1.99,12.62,4.19,8,[List],null,B09PY99SVJ,9,13.66,11.01,9.73,3 year warranty,Ships in 2 weeks,In Stock,[List],90 days return policy,7,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.9628E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",groceries,12.99,9.61,4.47,86,[List],null,B099FCT65D,10,18.9,5.77,18.57,3 year warranty,Ships overnight,In Stock,[List],60 days return policy,43,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.64006E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
